"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1000008881.hg.1",1.2633519687313,8.12968968635503,4.43164725377006,0.000264798874009058,0.0194185840939976,0.552836513080471
"TC1300006481.hg.1",1.14560680417952,5.01736830936554,4.41074102002498,0.000277932696664407,0.0199780814450694,0.507949180715669
"TC0700013441.hg.1",1.30154159439397,7.81596525647362,4.40177127185811,0.000283767015993232,0.0199780814450694,0.488685646305633
"TC0100006989.hg.1",0.891263348239877,6.64608915050071,4.39555704234119,0.0002878811875697,0.0199780814450694,0.475338280482321
"TC1200006604.hg.1",1.46649509446455,6.83607158949536,4.39280039273637,0.000289725423554037,0.0199780814450694,0.469416937211329
"TC0600014258.hg.1",-1.02342770971235,10.0580544373917,-4.35892752093233,0.000313381767819362,0.0212720210459298,0.39663754584991
"TC2100008168.hg.1",-0.78125524714415,6.5017690475136,-4.35302442369057,0.000317699015621029,0.0212720210459298,0.38395059594375
"TC0X00011014.hg.1",-0.834055840165679,3.76111412975488,-4.31323763424113,0.00034839990461905,0.0229943937048573,0.298416369897039
"TC0600013272.hg.1",1.02401195745316,7.08470675625981,4.30296130732677,0.000356803185807075,0.0232173340623759,0.276317874465614
"TC0600011140.hg.1",-1.11428369214906,5.81022494075201,-4.28998630426392,0.000367704877143734,0.0235943962833896,0.248412780395728
"TC0400008841.hg.1",1.01368159446168,5.730042948991,4.27419228908337,0.000381427832739733,0.0238708943727411,0.21444031190518
"TC1000006802.hg.1",1.3609289127885,6.17760840052166,4.26997681419739,0.000385176744568869,0.0238708943727411,0.205372157667661
"TC0700012123.hg.1",-0.873467306865633,2.79189818622421,-4.26736890763695,0.000387514519038005,0.0238708943727411,0.199761979586709
"TC1700007931.hg.1",-0.882729569964709,6.14483538797742,-4.25745690591431,0.000396530567911848,0.0241048845230624,0.17843803698978
"TC1900007950.hg.1",1.1109695825961,4.7206691951543,4.24827881288471,0.000405066781142208,0.0243040068685325,0.158691562486784
"TC1200010109.hg.1",1.04050679554595,6.56846915441507,4.23088650832351,0.000421752076787605,0.0244043178234688,0.121269040343534
"TC1700009256.hg.1",0.918954045975879,7.61386068734222,4.23039542220922,0.00042223308386398,0.0244043178234688,0.120212326167209
"TC0400012945.hg.1",0.980646783547341,8.72930081543539,4.22432235965458,0.000428227204665356,0.0244043178234688,0.107144127718004
"TC0200015424.hg.1",0.893550100572854,4.55080308630987,4.22074018753628,0.000431802776579608,0.0244043178234688,0.0994356988578105
"TC0X00011223.hg.1",1.23241625207638,8.59648150934139,4.21763580438729,0.000434925661739067,0.0244043178234688,0.0927553016994311
"TC0700011550.hg.1",0.899170191410299,8.37820431220717,4.21417624201018,0.000438432549642405,0.0244043178234688,0.0853104639692717
"TC0300009855.hg.1",1.38075886626846,6.22074550696466,4.19834160723375,0.000454849389639777,0.0245116832424032,0.0512334886471386
"TC1700011892.hg.1",-0.922653016008979,4.8708773137281,-4.19739527196892,0.000455849821877714,0.0245116832424032,0.0491968549995789
"TC0300013896.hg.1",0.936083258795557,7.91948245367796,4.19699080185853,0.000456278086330449,0.0245116832424032,0.0483263817749524
"TC0100016044.hg.1",0.832098266716981,4.99991559961987,4.18801389952025,0.000465887641886756,0.0247402402932967,0.0290065816480123
"TC0400011014.hg.1",1.126910685256,5.91591389602175,4.18059222983476,0.000473985432962209,0.024884235230516,0.0130334905860554
"TC1400007307.hg.1",0.903776334215203,6.20289381837038,4.17050825204241,0.000485214680236866,0.0251875485695991,-0.00866997322453944
"TC1900009832.hg.1",1.47641862323962,8.08242065886016,4.16064963854275,0.000496450737862942,0.0254074595865353,-0.0298888142286202
"TC0600009144.hg.1",0.751697659340486,5.72033463207276,4.15719456375598,0.000500449961552968,0.0254074595865353,-0.0373252971105016
"TC0200016626.hg.1",1.2289109932665,6.09307136771299,4.14919061417756,0.000509838937469805,0.0254196527883659,-0.0545525899071695
"TC0200015099.hg.1",1.06291346241961,5.67864418109073,4.14762642797123,0.000511694309376196,0.0254196527883659,-0.0579192765172243
"TC2200007312.hg.1",-0.944484140661335,7.70621451875858,-4.13790494811313,0.000523378156235991,0.0255130517690976,-0.0788434067513171
"TC0700008588.hg.1",-0.90552504237306,5.76456125434004,-4.13678268432126,0.000524744052047472,0.0255130517690976,-0.0812589238002985
"TC0500012567.hg.1",1.55471515069138,8.82577733967009,4.1145348837643,0.000552570796558907,0.0255130517690976,-0.129143847376275
"TC0300013330.hg.1",1.37549876872682,5.79209098956191,4.10960951252139,0.000558928367944533,0.0255130517690976,-0.139744753358722
"TC1900007679.hg.1",-0.794249904039334,5.83362694554699,-4.10786898046938,0.000561192480721875,0.0255130517690976,-0.143490886554958
"TC0600007067.hg.1",1.30722741715488,7.13822010400747,4.10706385636358,0.000562242903068733,0.0255130517690976,-0.145223744049598
"TC2000007820.hg.1",0.924393074619445,5.4370262027537,4.09979178800104,0.000571820182984734,0.0255130517690976,-0.160875168585838
"TC0900007143.hg.1",1.03146902180241,6.08087352422248,4.0995128511339,0.000572190775901342,0.0255130517690976,-0.161475509159712
"TC0100007333.hg.1",1.20202447002481,6.77845742949226,4.09584213245028,0.000577090114457496,0.0255130517690976,-0.169375753008199
"TC0400012818.hg.1",1.08929189506084,8.00918915455082,4.09565591554953,0.000577339775692117,0.0255130517690976,-0.169776533047009
"TC0400011383.hg.1",1.3838616045488,7.23488877268653,4.09487727246238,0.000578384874988276,0.0255130517690976,-0.171452343122775
"TC0X00010375.hg.1",0.948404477038322,4.80963660367296,4.09379393620864,0.000579842085661309,0.0255130517690976,-0.173783912913812
"TC0600007487.hg.1",-0.717973970662797,8.71546256919053,-4.07975178238226,0.000599066192700886,0.025897529766848,-0.204004838102591
"TC1900006470.hg.1",1.06417681249892,9.16409736377563,4.07771154353355,0.000601911904093334,0.025897529766848,-0.20839561997995
"TC1600007931.hg.1",1.02401462421018,9.78619346030564,4.07522614469787,0.000605396799744499,0.025897529766848,-0.213744376339733
"TC1700010677.hg.1",-0.839650404884223,5.29660474568116,-4.06624630515337,0.000618156908869956,0.0262007790732036,-0.233069135126173
"TC0600012240.hg.1",0.926946327583429,8.03384120590336,4.04910945642872,0.000643259132500458,0.0269665830940701,-0.269945421190092
"TC1200010908.hg.1",-1.17252725425736,6.47983181708572,-4.04601563647938,0.000647898424987398,0.0269665830940701,-0.276602528951714
"TC0700012180.hg.1",0.813593930909475,5.37658571008711,4.02793977618805,0.000675680222162751,0.0275926125880826,-0.315494376111072
"TC0100009056.hg.1",0.884485042408032,3.88255681686614,4.02758263080726,0.000676240969036932,0.0275926125880826,-0.316262755407102
"TC0600009753.hg.1",0.926133168146852,6.60493020629831,4.0217499722829,0.000685464802186775,0.0275926125880826,-0.32881110671581
