"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"MICA",4.24154343865556,4.76319771752468,5.60690082593586,4.43511819197616,4.24154343865556,5.8935334010598,5.62160125141856,5.31602319823329,5.95647287939515,5.80029042662206,5.40055348227729,5.36200365032902,5.6972487237514,5.3805418316852,4.83676209658635
"NPIPB9",6.55062534788208,6.50961354920135,6.74802613352067,6.30295312158436,6.55062534788208,8.19838050720989,7.78952010438245,7.67461199856628,7.96583139983023,7.61672249339265,8.1923607263393,9.15707836910356,9.12190145082885,7.83408030954104,6.99293970046173
"RNF103-CHMP3",8.10556846865402,8.22490304539176,8.13264313883046,7.6830622300647,8.10556846865402,6.21954836191112,6.33406517855704,6.44203325045058,6.05354948419656,6.93289883261429,6.99574211388551,7.32505039293815,7.2843281191377,6.94394504579126,6.93334989086043
"RPL17-C18orf32",8.71938420727686,9.35197751672054,9.29991667746097,8.62993108982395,8.71938420727686,6.78814554718474,6.44123371542605,7.32648973858756,6.51143274315355,7.59276000182765,6.99743709075666,7.01102605152606,6.74526815329216,8.40160537014166,7.07797316081018
"TGIF2-RAB5IF",8.7636537061606,9.41852877290645,8.71208696145888,8.63240548275325,8.7636537061606,7.52397114063879,7.33977915860944,7.69613440675407,7.26426616905791,7.57888483578755,7.07173395186473,7.2368401216359,7.14877467929447,7.56649492337088,7.48840019887058
"LHX4-AS1",3.76116130498614,3.68240733178555,3.72787671965484,3.31996736918358,3.76116130498614,4.13080297724805,3.86797277244655,4.50084666936987,4.39401766106026,4.59054286221234,5.1531751648416,5.50710474864517,4.68357450135322,5.19260635399835,4.99146134597835
"RPL36A-HNRNPH2",6.29468909971204,7.0102388113938,6.8440778162268,6.29318667679873,6.29468909971204,4.23730383220719,3.61800121390476,4.3442199030734,3.92076257928707,3.89760379182484,4.07405155372147,4.86117606981486,4.56222952479437,5.13404613555194,4.73412943317457
"HSPE1-MOB4",6.67134834721241,6.43570418331447,6.7324936429076,6.14425229167241,6.67134834721241,5.34227761482843,4.83350874167696,5.00546988446296,4.38814332568148,4.84134517973096,5.22019087108962,6.05357654680644,5.80374704950884,5.63830951507517,4.69099711400737
"CKLF-CMTM1",5.2432810743803,6.10012232077524,5.57551050881951,5.17799177127646,5.2432810743803,4.10490093996963,4.25241032758622,4.40815861091895,3.37216031605882,4.26032499393682,3.81769929324438,4.77336867570755,5.68534476186663,4.51814879027192,4.18772516738143
"STX16-NPEPL1",6.40202544940483,6.57249438340245,6.26755925408318,5.72596105416415,6.40202544940483,4.95173707146669,5.51796647212715,5.58581064958869,4.85934617242248,5.18144197628676,5.95674899547291,6.104055975198,6.28554230898918,4.67421290964412,4.86363911809974
