"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1660","TC2100006967.hg.1","3460","IFNGR2",-0.845853,10.09571,-3.906512,0.000895787,0.002493094,-1.103251
"1661","TC1700010545.hg.1","8396","PIP4K2B",0.7568614,5.243762,3.905663,0.0008975532,0.002496505,-1.105184
"1662","TC0800007439.hg.1","5423","POLB",-0.8751033,5.112084,-3.905287,0.000898337,0.002497182,-1.106041
"1663","TC0200012072.hg.1","4358","MPV17",0.9270844,7.679288,3.901225,0.0009068479,0.002519325,-1.115293
"1664","TC0700006727.hg.1","54664","TMEM106B",0.8969031,5.42168,3.900586,0.0009081943,0.00252048,-1.116749
"1665","TC1900007844.hg.1","51599","LSR",0.7388632,5.33558,3.90051,0.0009083548,0.00252048,-1.116923
"1666","TC0800007080.hg.1","665","BNIP3L",1.053374,10.30643,3.89949,0.0009105078,0.002524937,-1.119245
"1667","TC0100013636.hg.1","127544","RNF19B",-0.9137927,7.937202,-3.897958,0.0009137504,0.002531247,-1.122734
"1668","TC1000010925.hg.1","5551","PRF1",1.110824,7.974877,3.897816,0.0009140516,0.002531247,-1.123057
"1669","TC1700007042.hg.1","23164","MPRIP",1.04456,7.333653,3.89764,0.0009144265,0.002531247,-1.123459
"1670","TC2200009328.hg.1","89781","HPS4",0.7610238,6.261697,3.895393,0.0009192084,0.002541053,-1.128577
"1671","TC0300013090.hg.1","80012","PHC3",0.8357484,8.914742,3.895262,0.0009194864,0.002541053,-1.128873
"1672","TC0800008715.hg.1","22882","ZHX2",1.037536,6.202711,3.8952,0.0009196194,0.002541053,-1.129015
"1673","TC1900010023.hg.1","23770","FKBP8",0.9904612,8.186077,3.893594,0.0009230546,0.002549021,-1.132673
"1674","TC1500008100.hg.1","123720","WHAMM",-0.7829321,5.885812,-3.892068,0.00092633,0.00255651,-1.136148
"1675","TC1100012961.hg.1","100130460","CAND1.11",-0.7890998,4.321015,-3.891815,0.0009268733,0.00255651,-1.136724
"1676","TC1300008487.hg.1","6541","SLC7A1",0.8807607,4.979139,3.89116,0.0009282827,0.00255887,-1.138214
"1677","TC0900009779.hg.1","203228","C9orf72",-1.080506,6.434188,-3.888916,0.0009331306,0.0025707,-1.143324
"1678","TC1600008003.hg.1","221188","ADGRG5",0.823816,6.881214,3.886689,0.0009379676,0.002582485,-1.148396
