"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC0300010775.hg.1",-3.07536619058172,9.35176056356274,-7.39995853298525,4.17186308248624e-07,6.38212166923392e-06,6.50183379196657
"TC1200008182.hg.1",1.9862994259824,7.27851170745989,7.38899762594962,4.26388601489925e-07,6.50137075539093e-06,6.47988531977446
"TC1200010250.hg.1",1.90072586579425,5.29328059054375,7.37786831088968,4.35947221542906e-07,6.62525053792179e-06,6.45758264430329
"TC0300010427.hg.1",-1.63221249065041,6.38257199999128,-7.37236068411756,4.40759237691129e-07,6.66439802326734e-06,6.44653926746617
"TC0700007067.hg.1",1.81945934251014,5.58880612705982,7.37128300300289,4.41707214746153e-07,6.66439802326734e-06,6.44437791242249
"TC1200007709.hg.1",1.47185122331191,7.2181219793381,7.36856986658319,4.4410315815809e-07,6.66439802326734e-06,6.4389358423213
"TC1400007307.hg.1",1.59677064535829,6.20289381837038,7.36835531201255,4.44293201551156e-07,6.66439802326734e-06,6.4385054405765
"TC1400007603.hg.1",1.75720475243387,4.7180346591443,7.35294966386104,4.58161036739852e-07,6.85017472407157e-06,6.40758472420186
"TC0700008747.hg.1",1.73832233812984,8.50790084228736,7.34789466996666,4.62808331493109e-07,6.89733706934892e-06,6.39743169618579
"TC1900011779.hg.1",-1.64971920683718,7.85291619564869,-7.33998967829225,4.70173690562329e-07,6.98457379549184e-06,6.38154733935205
"TC1000011749.hg.1",1.4319283929723,6.88385273290853,7.31500105495862,4.94263679034387e-07,7.30392414210884e-06,6.33127830749485
"TC1400010704.hg.1",-1.40786421138024,5.90696165012418,-7.31442588018696,4.94832955948066e-07,7.30392414210884e-06,6.33012022818107
"TC0600014217.hg.1",1.64275893483287,7.56102267752386,7.30147674723775,5.0783029729195e-07,7.47189800474143e-06,6.30403587097525
"TC0X00007031.hg.1",1.57153750674459,7.9882160438575,7.29522585625243,5.14230251625598e-07,7.54204369050877e-06,6.29143598916234
"TC0800008183.hg.1",1.66754025024831,6.13812809979115,7.28596258211673,5.23868129730118e-07,7.64284747015491e-06,6.2727541674421
"TC1600008126.hg.1",2.00716169080313,5.69067490290103,7.28544527634438,5.24411828579893e-07,7.64284747015491e-06,6.27171053626959
"TC1200011791.hg.1",1.64482545530954,7.52767187154398,7.28186478891986,5.2819101711409e-07,7.64937156668467e-06,6.26448612263923
"TC0800011815.hg.1",1.60263751461213,8.01107696761777,7.28120391708819,5.28891635985594e-07,7.64937156668467e-06,6.26315247672175
"TC0100008927.hg.1",1.76437388265459,7.38379524259472,7.27901290324983,5.31221303433215e-07,7.64937156668467e-06,6.25873055887447
"TC1300008840.hg.1",1.33456061467799,10.295257424894,7.27876804960153,5.31482310152766e-07,7.64937156668467e-06,6.25823635264951
"TC0500013191.hg.1",2.30273949171612,5.17183260401472,7.2697300198183,5.4120990648168e-07,7.76518561473715e-06,6.2399884538635
"TC1800008219.hg.1",2.17160839009852,5.9181716036887,7.26529106682486,5.46054733269691e-07,7.81044231487917e-06,6.23102203335231
"TC0100011270.hg.1",-1.81650624678316,5.7530826203807,-7.2615627510249,5.50158571687715e-07,7.83153470165059e-06,6.22348896243526
"TC2000009216.hg.1",2.52925895363982,6.13622730252381,7.26087447655285,5.50919648925637e-07,7.83153470165059e-06,6.2220980930923
"TC1900008180.hg.1",-1.51463722453297,5.27526416952213,-7.25535697431535,5.57060229734111e-07,7.86485782901505e-06,6.21094593472789
"TC0500013359.hg.1",1.35981131871911,8.07395879904796,7.25325409225445,5.59419162902515e-07,7.86485782901505e-06,6.20669441755983
"TC0900009164.hg.1",-1.28395088075095,6.5791217538086,-7.25289401522729,5.59824117621829e-07,7.86485782901505e-06,6.20596636820363
"TC0600007847.hg.1",1.78918379364771,6.12352327874516,7.25267266217994,5.6007320903592e-07,7.86485782901505e-06,6.20551879971496
"TC0600007270.hg.1",1.41414586798321,8.34589012457528,7.2454779200209,5.68232220142194e-07,7.95525108199072e-06,6.1909676014058
"TC1200006520.hg.1",1.579577742745,5.26784244314647,7.2425866156419,5.71545536952493e-07,7.97746338586259e-06,6.18511800051384
"TC0600007825.hg.1",1.4457037714894,7.90216207462481,7.23815192561178,5.76666355384432e-07,8.02469446348215e-06,6.17614363422892
"TC1100009191.hg.1",-1.43041769434196,8.01569988258068,-7.22395612655558,5.93379629205177e-07,8.23247413491868e-06,6.14739778968499
"TC0700013327.hg.1",-1.47232845201685,6.43161113341323,-7.22223721954861,5.95437067375169e-07,8.23628518345294e-06,6.14391520187712
"TC0400009048.hg.1",1.55191241992441,7.66814917800149,7.22050291580676,5.97520406054583e-07,8.2404306745438e-06,6.1404010081399
"TC0700013043.hg.1",-1.60833464410128,6.77207273475687,-7.21075374721734,6.09372624332818e-07,8.37887358457625e-06,6.12063872428735
"TC2000007514.hg.1",2.97231105983414,8.17505618105304,7.20454526597537,6.17046733329839e-07,8.44425290455518e-06,6.10804687190293
"TC1400009123.hg.1",1.83021250431285,6.38663714593843,7.20395380948892,6.17783004705552e-07,8.44425290455518e-06,6.10684702178447
"TC1400010629.hg.1",1.39033685020074,5.29702015850249,7.20195063071316,6.20283401024703e-07,8.4509340661602e-06,6.10278294376706
"TC1000008908.hg.1",1.42902573004028,7.54151260021829,7.20063584826768,6.21930212661141e-07,8.4509340661602e-06,6.10011519473377
"TC0500012470.hg.1",-1.53219219458472,10.0363073643597,-7.19866529293461,6.24406866484731e-07,8.45970593301893e-06,6.09611641052593
"TC0100009949.hg.1",1.58435782923935,6.72947620306171,7.19630361377717,6.27388526225725e-07,8.4738768330703e-06,6.09132322923492
"TC0500013385.hg.1",2.02905461840942,4.61594982487465,7.19493657100399,6.29121158818856e-07,8.4738768330703e-06,6.08854837731829
"TC0600007375.hg.1",1.73895233918461,6.19444854524318,7.18960255488958,6.35929072115493e-07,8.53194404782691e-06,6.07771882773473
"TC1100007785.hg.1",-1.38111423691416,7.7811727383637,-7.18867109932384,6.37125691883178e-07,8.53194404782691e-06,6.07582731115957
